origem;destino;media custo(reais);menor tempo (horas)
SBEG;SBCZ;1351.5;8
SBEG;SBRB;960.5;7
SBEG;SBMO;1277.0;8
SBEG;SWEI;1015.0;3
SBEG;SWPI;415.0;1
SBEG;SBTT;670.0;15
SBEG;SBTF;645.0;1
SBEG;SBMQ;1024.5;3
SBEG;SNBR;1328.5;19
SBEG;SBIL;852.5;8
SBEG;SBPS;872;5
SBEG;SBQV;1482.5;11
SBEG;SBFZ;725.0;3
SBEG;SBJU;842.0;11
SBEG;SBBR;636.5;3
SBEG;SBVT;757.0;6
SBEG;SBCN;1025.5;10
SBEG;SBGO;513.5;9
SBEG;SBIZ;1202.5;6
SBEG;SBSL;650.5;6
SBEG;SBCF;868.0;5
SBEG;SBGV;923.0;9
SBEG;SBMK;1126.0;9
SBEG;SBIP;1100.0;9
SBEG;SBUR;1642.0;11
SBEG;SBUL;708.0;10
SBEG;SBCG;662;7
SBEG;SBCR;1043.0;6
SBEG;SBAT;1406.5;22
SBEG;SWSI;1548.5;10
SBEG;SBCY;822.5;10
SBEG;SBHT;1005.0;4
SBEG;SBBE;282.0;2
SBEG;SBMA;816.5;4
SBEG;SBSN;1137.5;4
SBEG;SBJP;891.5;6
SBEG;SBKG;1878.0;10
SBEG;SBFN;1709.0;6
SBEG;SBPL;1047.5;10
SBEG;SBRF;584.5;4
SBEG;SBTE;700.0;7
SBEG;SBCA;890.5;6
SBEG;SBCT;643;6
SBEG;SBFI;994.0;6
SBEG;SBLO;945.0;6
SBEG;SBMG;1100.0;8
SBEG;SBGL;964.5;4
SBEG;SBSG;875.0;6
SBEG;SSKW;2142.5;22
SBEG;SBVH;1475.5;22
SBEG;SBBV;371.5;1
SBEG;SBPF;1056.0;6
SBEG;SBPA;590.0;6
SBEG;SBCH;757.5;6
SBEG;SBFL;613.5;6
SBEG;SBJV;720.0;9
SBEG;SBNF;832.0;6
SBEG;SBAR;853.0;6
SBEG;SBAU;1119.0;7
SBEG;SBKP;1161.5;6
SBEG;SBGR;648.5;4
SBEG;SBML;671.0;6
SBEG;SBDN;1024.0;7
SBEG;SBRP;957.5;12
SBEG;SBSR;823.0;10
SBEG;SBSP;801.5;5
SBEG;SWGN;1497.5;23
SBEG;SBPJ;892.0;7
SBEG;SBRJ;707.5;6
SBSV;SBCZ;1041.5;7
SBSV;SBRB;939.0;6
SBSV;SBMO;1665.5;1
SBSV;SBEG;637.0;11
SBSV;SBTT;1021.0;7
SBSV;SBMQ;885.0;19
SBSV;SNBR;688.0;1
SBSV;SBIL;811.0;0.75
SBSV;SBPS;858.0;1
SBSV;SBQV;392.5;1
SBSV;SBFZ;247.0;1
SBSV;SBJU;898.5;7
SBSV;SBBR;408.5;1
SBSV;SBVT;269.0;7
SBSV;SBCN;1232.5;5
SBSV;SBGO;408;6
SBSV;SWLC;1771.5;13
SBSV;SBIZ;964.5;4
SBSV;SBSL;467.5;9
SBSV;SBCF;295.0;1
SBSV;SBGV;1351.0;3
SBSV;SBJF;950.0;7
SBSV;SBMK;557.0;8
SBSV;SBIP;752.0;3
SBSV;SBUR;765.0;5
SBSV;SBUL;782.5;9
SBSV;SBCG;488.5;4
SBSV;SBCR;1195.0;7
SBSV;SBAT;1780.0;7
SBSV;SBCY;733.5;4
SBSV;SBHT;1322.0;7
SBSV;SBBE;511.0;17
SBSV;SBMA;780.0;11
SBSV;SBSN;824.0;7
SBSV;SBJP;353.0;1
SBSV;SBKG;1546.5;6
SBSV;SBFN;893.5;8
SBSV;SBPL;589.0;1
SBSV;SBRF;280.5;1
SBSV;SBTE;391.5;12
SBSV;SBCA;457.0;5
SBSV;SBCT;756.0;4
SBSV;SBFI;375;6
SBSV;SBLO;309.5;4
SBSV;SBMG;604.5;6
SBSV;SBCB;910.0;6
SBSV;SBGL;832.0;2
SBSV;SBSG;517.5;4
SBSV;SSKW;2142.5;21
SBSV;SBPV;976.5;7
SBSV;SBVH;1355.5;9
SBSV;SBBV;1204.0;6
SBSV;SBCX;1169.5;5
SBSV;SBPF;874.5;5
SBSV;SBPA;506;4
SBSV;SBCH;1215.0;4
SBSV;SBFL;514;4
SBSV;SBJV;444.5;8
SBSV;SBNF;478.0;6
SBSV;SBAR;527.0;1
SBSV;SBAU;1280.5;5
SBSV;SBKP;410.5;2
SBSV;SBGR;278;2
SBSV;SBML;1204.5;5
SBSV;SBDN;696.5;7
SBSV;SBRP;380.0;20
SBSV;SBSR;519.0;5
SBSV;SBSP;653.5;2
SBSV;SBPJ;1100.0;6
SBSV;SBRJ;669;2
SBFZ;SBRB;1364.0;9
SBFZ;SBMO;1735.5;6
SBFZ;SBEG;689.5;3
SBFZ;SBMQ;518.0;6
SBFZ;SNBR;989.5;6
SBFZ;SBIL;1838.5;9
SBFZ;SBLE;2134.5;17
SBFZ;SBPS;873.5;7
SBFZ;SBSV;247.0;1
SBFZ;SBQV;771.0;5
SBFZ;SBJU;670.5;1
SBFZ;SBBR;656.0;10
SBFZ;SBVT;577.0;5
SBFZ;SBGO;409.5;4
SBFZ;SBIZ;407.5;16
SBFZ;SBCF;573.5;4
SBFZ;SBGV;990.0;6
SBFZ;SBJF;2071.0;22
SBFZ;SBMK;640.5;8
SBFZ;SBIP;1567.0;5
SBFZ;SBUR;1181.0;8
SBFZ;SBUL;435.0;5
SBFZ;SBCG;542.0;5
SBFZ;SBAT;1746.0;26
SBFZ;SWRD;2142.5;28
SBFZ;SWSI;1717.0;10
SBFZ;SBCY;1267.0;8
SBFZ;SBHT;1695.0;8
SBFZ;SBBE;448.5;1
SBFZ;SBMA;656.0;6
SBFZ;SBSN;946.5;18
SBFZ;SBJP;904.0;3
SBFZ;SBKG;887.5;10
SBFZ;SBFN;1075.0;3
SBFZ;SBPL;935.5;4
SBFZ;SBTE;209.0;1
SBFZ;SBCA;658.5;8
SBFZ;SBCT;629.5;5
SBFZ;SBFI;601.0;6
SBFZ;SBLO;602.0;7
SBFZ;SBMG;1111.0;8
SBFZ;SBCB;917.0;5
SBFZ;SBGL;535.0;3
SBFZ;SBSG;166.5;1
SBFZ;SSKW;2142.5;26
SBFZ;SBPV;1111.0;9
SBFZ;SBVH;2142.5;26
SBFZ;SBBV;1219.0;7
SBFZ;SBCX;2142.5;18
SBFZ;SBPF;1235.5;8
SBFZ;SBPA;698;6
SBFZ;SBCH;817.5;6
SBFZ;SBFL;932;7
SBFZ;SBJV;501;8
SBFZ;SBNF;572;9
SBFZ;SBAR;478.0;3
SBFZ;SBAU;796.0;6
SBFZ;SBKP;725.0;4
SBFZ;SBGR;425.0;3
SBFZ;SBML;536.0;6
SBFZ;SBDN;1288.5;6
SBFZ;SBRP;636;9
SBFZ;SBSR;596;6
SBFZ;SBSP;910.5;4
SBFZ;SWGN;1202.5;21
SBFZ;SBPJ;980.0;5
SBFZ;SBRJ;700;6
SBBR;SBCZ;831.0;5
SBBR;SBRB;1054.5;3
SBBR;SBMO;757.5;9
SBBR;SBEG;636.5;2
SBBR;SBMQ;1120.0;2
SBBR;SNBR;678.0;4
SBBR;SBIL;1281.5;5
SBBR;SBPS;580.5;13
SBBR;SBSV;510.0;9
SBBR;SNVB;2142.5;7
SBBR;SBQV;839.0;3
SBBR;SBFZ;656.0;6
SBBR;SBJU;1067.5;9
SBBR;SBVT;436.5;1
SBBR;SBGO;375;1
SBBR;SBIZ;609.0;2
SBBR;SBSL;583.0;13
SBBR;SBCF;337.5;1
SBBR;SBGV;1388.5;7
SBBR;SBJF;820.5;4
SBBR;SBMK;698.0;5
SBBR;SBIP;597.0;3
SBBR;SBUL;589.5;1
SBBR;SBCG;474.0;1
SBBR;SBCR;1032.0;4
SBBR;SBAT;1015.0;3
SBBR;SWSI;1111.5;3
SBBR;SBCY;568.0;1
SBBR;SBHT;1009.0;8
SBBR;SBBE;820.0;2
SBBR;SBMA;520.0;2
SBBR;SBSN;563.5;8
SBBR;SBJP;647;2
SBBR;SBKG;1214.0;5
SBBR;SBFN;1464.5;5
SBBR;SBPL;903.0;5
SBBR;SBRF;305.5;2
SBBR;SBTE;756.0;2
SBBR;SBCA;677.0;9
SBBR;SBCT;443;2
SBBR;SBFI;592.0;2
SBBR;SBLO;344.0;6
SBBR;SBMG;497.5;9
SBBR;SBCB;1166.0;3
SBBR;SBGL;834.5;1
SBBR;SBSG;850.5;2
SBBR;SSKW;1620.5;24
SBBR;SBPV;867.5;3
SBBR;SBVH;1260.0;24
SBBR;SBBV;636.5;3
SBBR;SBCX;1125.5;4
SBBR;SBPF;956.5;4
SBBR;SBPA;604.5;2
SBBR;SBCH;1291.5;9
SBBR;SBFL;560.5;2
SBBR;SBJV;411.5;3
SBBR;SBNF;452.5;3
SBBR;SBAR;258.5;2
SBBR;SBAU;932.5;4
SBBR;SBKP;616.0;1
SBBR;SBGR;295;1
SBBR;SBML;658.0;4
SBBR;SBDN;529.0;3
SBBR;SBRP;492;2
SBBR;SBSR;455.5;4
SBBR;SBSP;834.5;1
SBBR;SBPJ;839.5;1
SBBR;SBRJ;1204.5;1
SBVT;SBRB;819.0;14
SBVT;SBMO;899.0;5
SBVT;SBEG;757.0;6
SBVT;SBMQ;757.5;8
SBVT;SNBR;621.5;4
SBVT;SBIL;907.0;6
SBVT;SBPS;472.0;4
SBVT;SBSV;286.5;8
SBVT;SNVB;2142.5;4
SBVT;SBQV;608.5;5
SBVT;SBFZ;648.0;9
SBVT;SBJU;753.0;6
SBVT;SBBR;301.0;4
SBVT;SBGO;358.0;3
SBVT;SBIZ;829.0;7
SBVT;SBSL;585.5;9
SBVT;SBCF;471.5;1
SBVT;SBGV;960.0;3
SBVT;SBJF;929.0;4
SBVT;SBMK;527.0;7
SBVT;SBIP;823.0;3
SBVT;SBUR;774.5;5
SBVT;SBUL;439.0;4
SBVT;SBCG;463.5;7
SBVT;SBCR;1018.0;4
SBVT;SBAT;878;9
SBVT;SWSI;892.5;8
SBVT;SBCY;602;10
SBVT;SBHT;1118.0;8
SBVT;SBBE;530.5;5
SBVT;SBMA;737.0;9
SBVT;SBSN;840.0;20
SBVT;SBJP;753.0;9
SBVT;SBKG;1116.0;8
SBVT;SBFN;1311.0;5
SBVT;SBPL;935.5;7
SBVT;SBRF;469.0;6
SBVT;SBTE;804.0;7
SBVT;SBCA;629.0;5
SBVT;SBCT;222.5;3
SBVT;SBFI;457;6
SBVT;SBLO;308.5;11
SBVT;SBMG;544.0;4
SBVT;SBCB;897.0;3
SBVT;SBGL;419.5;1
SBVT;SBSG;914.5;6
SBVT;SSKW;1032.0;20
SBVT;SBPV;815.5;7
SBVT;SBVH;1003.0;20
SBVT;SBBV;1395.5;11
SBVT;SBPF;1073.5;4
SBVT;SBPA;424;14
SBVT;SBCH;810.5;4
SBVT;SBFL;269.5;3
SBVT;SBJV;379.5;4
SBVT;SBNF;332.5;3
SBVT;SBAR;920.5;9
SBVT;SBAU;553.0;4
SBVT;SBKP;512.5;1
SBVT;SBGR;192;1
SBVT;SBML;528.0;4
SBVT;SBDN;442.5;4
SBVT;SBRP;357;3
SBVT;SBSR;572.0;6
SBVT;SBSP;226;1
SBVT;SWGN;1232.5;22
SBVT;SBPJ;811.0;5
SBVT;SBRJ;398.0;1
SBCF;SBRB;943.0;5
SBCF;SBMO;943.0;9
SBCF;SBEG;833.5;5
SBCF;SBMQ;1260;5
SBCF;SNBR;642.5;2
SBCF;SBIL;966.0;5
SBCF;SBPS;548.0;1
SBCF;SBSV;345.0;7
SBCF;SNVB;2092.5;1
SBCF;SBQV;585.0;1
SBCF;SBFZ;727.0;2
SBCF;SBJU;729.5;4
SBCF;SBBR;280.5;1
SBCF;SBVT;426;1
SBCF;SBCN;1239.5;5
SBCF;SBGO;616;1
SBCF;SBIZ;982.0;11
SBCF;SBSL;863.5;4
SBCF;SBGV;1006.0;1
SBCF;SBJF;711.0;4
SBCF;SBMK;650.5;1
SBCF;SBIP;434.0;0.75
SBCF;SBUR;304.0;1
SBCF;SBUL;580.0;1
SBCF;SBCG;457.0;3
SBCF;SBCR;1132.0;4
SBCF;SBAT;829.5;5
SBCF;SWSI;947.0;8
SBCF;SBCY;756.0;4
SBCF;SBHT;875.5;5
SBCF;SBBE;660.5;3
SBCF;SBMA;693.5;6
SBCF;SBSN;917.5;20
SBCF;SBJP;498.5;8
SBCF;SBKG;887.5;8
SBCF;SBFN;1451.5;7
SBCF;SBPL;1436.5;9
SBCF;SBRF;654.0;7
SBCF;SBTE;453.0;9
SBCF;SBCA;703.5;4
SBCF;SBCT;380;1
SBCF;SBFI;440;4
SBCF;SBLO;305.0;9
SBCF;SBMG;539.0;3
SBCF;SBCB;768.5;1
SBCF;SBGL;347.0;1
SBCF;SBSG;521.5;6
SBCF;SSKW;1541.5;19
SBCF;SBPV;996.0;22
SBCF;SBVH;1392.5;6
SBCF;SBBV;1234.5;7
SBCF;SBCX;847.5;3
SBCF;SBPF;1031.0;4
SBCF;SBPA;355;2
SBCF;SBCH;1008.0;12
SBCF;SBFL;506.0;1
SBCF;SBJV;411.5;3
SBCF;SBNF;515.5;5
SBCF;SBAR;656.5;5
SBCF;SBAU;809.5;3
SBCF;SBKP;406.0;1
SBCF;SBGR;215;1
SBCF;SBML;409.0;3
SBCF;SBDN;826.0;4
SBCF;SBRP;390.0;1
SBCF;SBSR;412.5;8
SBCF;SBSP;208.0;1
SBCF;SWGN;1080.5;21
SBCF;SBPJ;434;3
SBCF;SBRJ;381.0;1
SBCG;SBRB;1053.5;9
SBCG;SBMO;1004.5;7
SBCG;SBEG;782.0;5
SBCG;SBMQ;1040.0;11
SBCG;SNBR;1559.5;23
SBCG;SBIL;1819.5;4
SBCG;SBPS;649.5;8
SBCG;SBSV;546.0;12
SBCG;SBQV;941.0;4
SBCG;SBFZ;586.0;9
SBCG;SBJU;746.5;23
SBCG;SBBR;525.5;1
SBCG;SBVT;545.5;5
SBCG;SBGO;558.5;5
SBCG;SBIZ;1028.0;9
SBCG;SBSL;764;6
SBCG;SBCF;405.0;7
SBCG;SBGV;2142.5;9
SBCG;SBJF;1765.5;6
SBCG;SBMK;863.0;7
SBCG;SBIP;1442.0;6
SBCG;SBUR;2142.5;11
SBCG;SBUL;734.0;7
SBCG;SBCR;2142.5;6
SBCG;SBAT;895.0;9
SBCG;SWSI;732.5;9
SBCG;SBCY;699.0;16
SBCG;SBHT;2142.5;11
SBCG;SBBE;525.5;8
SBCG;SBMA;689.5;5
SBCG;SBSN;2142.5;11
SBCG;SBJP;805.5;6
SBCG;SBKG;887.5;6
SBCG;SBFN;1720.0;7
SBCG;SBPL;877.0;5
SBCG;SBRF;967.5;5
SBCG;SBTE;633;10
SBCG;SBCA;674.5;4
SBCG;SBCT;573.5;1
SBCG;SBFI;565.0;6
SBCG;SBLO;587.5;4
SBCG;SBMG;591.5;4
SBCG;SBCB;2133.5;5
SBCG;SBGL;522.0;14
SBCG;SBSG;862.0;6
SBCG;SBPV;671.5;11
SBCG;SBVH;2142.5;8
SBCG;SBBV;1194.0;14
SBCG;SBPF;1391.5;4
SBCG;SBPA;604.0;4
SBCG;SBCH;1260.0;12
SBCG;SBFL;475.5;4
SBCG;SBJV;597.5;8
SBCG;SBNF;685.0;6
SBCG;SBAR;582.0;13
SBCG;SBAU;2142.5;7
SBCG;SBKP;924.5;6
SBCG;SBGR;431.0;1
SBCG;SBML;2142.5;6
SBCG;SBDN;2142.5;7
SBCG;SBRP;590.5;5
SBCG;SBSR;717.5;5
SBCG;SBSP;660.5;1
SBCG;SBPJ;896.5;7
SBCG;SBRJ;546.5;3
SBCY;SBCZ;1467.5;7
SBCY;SBRB;1329.0;5
SBCY;SBMO;1495.0;7
SBCY;SBEG;822.5;6
SBCY;SBMQ;1144.5;7
SBCY;SNBR;657.0;7
SBCY;SBIL;1547.0;6
SBCY;SBPS;730.0;4
SBCY;SBSV;735;5
SBCY;SNVB;2142.5;10
SBCY;SBQV;694.0;5
SBCY;SBFZ;1241;6
SBCY;SBJU;865.0;8
SBCY;SBBR;537.0;1
SBCY;SBVT;615.5;5
SBCY;SBGO;620;1
SBCY;SBIZ;1167.5;9
SBCY;SBSL;805.5;7
SBCY;SBCF;706.5;2
SBCY;SBGV;1614.0;9
SBCY;SBJF;1090.0;6
SBCY;SBMK;735.0;5
SBCY;SBIP;848.5;5
SBCY;SBUR;2142.5;12
SBCY;SBUL;592.5;4
SBCY;SBCG;591.5;1
SBCY;SBAT;391.0;1
SBCY;SWSI;726.5;1
SBCY;SBHT;1716.5;11
SBCY;SBBE;812.5;7
SBCY;SBMA;1444.5;9
SBCY;SBSN;2118.5;11
SBCY;SBJP;815.5;5
SBCY;SBKG;954.5;13
SBCY;SBFN;1982.5;5
SBCY;SBPL;916.0;9
SBCY;SBRF;778.0;3
SBCY;SBTE;728.5;7
SBCY;SBCA;617.0;4
SBCY;SBCT;985.0;3
SBCY;SBFI;537.0;6
SBCY;SBLO;697.0;11
SBCY;SBMG;1490.0;4
SBCY;SBCB;1151.0;5
SBCY;SBGL;572.0;8
SBCY;SBSG;797.0;8
SBCY;SBPV;741.5;1
SBCY;SBVH;775.0;1
SBCY;SBBV;1214.5;10
SBCY;SBPF;1005.0;5
SBCY;SBPA;539.0;5
SBCY;SBCH;1018.0;7
SBCY;SBFL;786.0;4
SBCY;SBJV;737.0;6
SBCY;SBNF;665.5;5
SBCY;SBAR;970.0;13
SBCY;SBAU;971.5;7
SBCY;SBKP;879.5;2
SBCY;SBGR;560.5;2
SBCY;SBML;608.5;7
SBCY;SBDN;1223.5;5
SBCY;SBRP;609.0;4
SBCY;SBSR;649.0;4
SBCY;SBSP;586.0;2
SBCY;SWGN;1166.0;27
SBCY;SBPJ;799.5;5
SBCY;SBRJ;719;16
SBBE;SBCZ;1111.5;8
SBBE;SBRB;767.5;14
SBBE;SBMO;1555;9
SBBE;SBEG;210.0;2
SBBE;SBTT;821.0;3
SBBE;SBMQ;230.5;1
SBBE;SNBR;777.0;8
SBBE;SBIL;1577.5;7
SBBE;SBPS;794.5;5
SBBE;SBSV;408.0;8
SBBE;SBQV;1133.0;7
SBBE;SBFZ;267.5;1
SBBE;SBJU;1596.5;8
SBBE;SBBR;813.5;2
SBBE;SBVT;507.0;5
SBBE;SBCN;1239.5;10
